Year,Term,Importer,Exporter,Max_reported_quantity,Unit
2010,live,AT,ML,410.0,Number of specimens
2010,live,AT,PA,182.0,Number of specimens
2010,live,AT,PH,50.0,Number of specimens
2010,live,AT,TG,250.0,Number of specimens
2010,live,AT,TH,346.0,Number of specimens
2010,live,AT,TZ,526.0,Number of specimens
2010,live,AT,US,218.0,Number of specimens
2010,live,AU,BJ,1250.0,Number of specimens
2010,live,AU,CN,33910.0,Number of specimens
2010,live,AU,CZ,360.0,Number of specimens
2010,live,AU,GT,300.0,Number of specimens
2010,live,AU,ID,218800.0,Number of specimens
2010,live,AU,IN,70332.0,Number of specimens
2010,live,AU,KR,41250.0,Number of specimens
2010,live,AU,LK,2880.0,Number of specimens
2010,live,AU,MY,3487.0,Number of specimens
2010,live,AU,NL,1000.0,Number of specimens
2010,live,AU,PE,206.0,Number of specimens
2010,live,AU,PH,226.0,Number of specimens
2010,live,AU,TH,69810.0,Number of specimens
2010,live,AU,TW,175.0,Number of specimens
2010,live,AU,TZ,207.0,Number of specimens
2010,live,AU,US,3217.0,Number of specimens
2010,live,AU,VN,8400.0,Number of specimens
2010,live,AU,XX,500.0,Number of specimens
2010,live,AU,ZA,2300.0,Number of specimens
2010,live,AW,AN,20.0,Number of specimens
2010,live,AW,BR,365.0,Number of specimens
2010,live,AW,EC,80.0,Number of specimens
2010,live,AW,NL,2.0,Number of specimens
2010,live,AW,US,398.0,Number of specimens
2010,live,AZ,SY,1.0,Number of specimens
2010,live,BA,GH,80.0,Number of specimens
2010,live,BA,SB,124.0,Number of specimens
2010,live,BA,SN,600.0,Number of specimens
2010,live,BA,ZM,300.0,Number of specimens
2010,live,BB,CA,1.0,Number of specimens
2010,live,BB,JM,15.0,Number of specimens
2010,live,BB,US,353.0,Number of specimens
2010,live,BD,MY,60.0,Number of specimens
2010,live,BD,NL,26.0,Number of specimens
2010,live,BD,ZA,102.0,Number of specimens
2010,live,BE,AE,1.0,Number of specimens
2010,live,BE,AU,9.0,Number of specimens
2010,live,BE,CA,3880.0,Number of specimens
2010,live,BE,CD,2.0,Number of specimens
2010,live,BE,CH,2.0,Number of specimens
2010,live,BE,CL,21800.0,Number of specimens
2010,live,BE,CM,27.618,Number of specimens
2010,live,BE,CN,2540.0,Number of specimens
2010,live,BE,GH,3810.0,Number of specimens
2010,live,BE,ID,8348.0,Number of specimens
2010,live,BE,IL,50000.0,Number of specimens
2010,live,BE,JP,2106.0,Number of specimens
2010,live,BE,MY,3534.0,Number of specimens
2010,live,BE,PE,2176.0,Number of specimens
2010,live,BE,PH,3.0,Number of specimens
2010,live,BE,TH,202.0,Number of specimens
2010,live,BE,TW,8447.1,Number of specimens
2010,live,BE,US,7689.0,Number of specimens
2010,live,BE,UZ,2022.0,Number of specimens
2010,live,BE,VU,300.0,Number of specimens
2010,live,BE,ZA,7225.0,Number of specimens
2010,live,BG,ID,195.0,Number of specimens
2010,live,BG,LB,25.0,Number of specimens
2010,live,BG,PH,55.0,Number of specimens
2010,live,BG,RU,10.0,Number of specimens
2010,live,BG,SG,60.0,Number of specimens
2010,live,BG,US,10.0,Number of specimens
2010,live,BH,AE,109.0,Number of specimens
2010,live,BH,AR,160.0,Number of specimens
2010,live,BH,BE,909.0,Number of specimens
2010,live,BH,CD,300.0,Number of specimens
2010,live,BH,CN,3160.0,Number of specimens
2010,live,BH,CZ,18.0,Number of specimens
2010,live,BH,GT,705.0,Number of specimens
2010,live,BH,GY,883.0,Number of specimens
2010,live,BH,LK,130.0,Number of specimens
2010,live,BH,MY,100.0,Number of specimens
2010,live,BH,NL,721.0,Number of specimens
2010,live,BH,QA,98.0,Number of specimens
2010,live,BH,RU,12.0,Number of specimens
2010,live,BH,SA,2.0,Number of specimens
2010,live,BH,SB,164.0,Number of specimens
2010,live,BH,SR,385.0,Number of specimens
2010,live,BH,US,10.0,Number of specimens
2010,live,BH,ZA,9526.0,Number of specimens
2010,live,BJ,CG,1.0,Number of specimens
2010,live,BJ,GH,1400.0,Number of specimens
2010,live,BJ,ML,250.0,Number of specimens
2010,live,BJ,NE,1500.0,Number of specimens
2010,live,BM,US,663.0,Number of specimens
2010,live,BN,CN,3330.0,Number of specimens
2010,live,BN,MY,4495.0,Number of specimens
2010,live,BN,PH,10.0,Number of specimens
2010,live,BN,SG,50.0,Number of specimens
2010,live,BR,CH,2.0,Number of specimens
2010,live,BR,DE,702.0,Number of specimens
2010,live,BR,EC,430.0,Number of specimens
2010,live,BR,ES,1.0,Number of specimens
2010,live,BR,ID,299315.0,Number of specimens
2010,live,BR,PY,1.0,Number of specimens
2010,live,BR,US,8154.0,Number of specimens
2010,live,BR,VN,875.0,Number of specimens
2010,live,BS,JM,34.0,Number of specimens
2010,live,BS,TH,250.0,Number of specimens
2010,live,BS,US,42607.0,Number of specimens
2010,live,BW,ZA,11.0,Number of specimens
2010,live,BY,NL,1680.0,Number of specimens
2010,live,BZ,TW,200.0,Number of specimens
2010,live,CA,AU,16720.0,Number of specimens
2010,live,CA,BJ,250.0,Number of specimens
2010,live,CA,BR,642.0,Number of specimens
2010,live,CA,CH,1.0,Number of specimens
2010,live,CA,CN,5798.0,Number of specimens
2010,live,CA,CZ,340.0,Number of specimens
2010,live,CA,DE,72.0,Number of specimens
2010,live,CA,DO,795.0,Number of specimens
2010,live,CA,EC,5035.0,Number of specimens
2010,live,CA,FJ,14951.0,Number of specimens
2010,live,CA,GB,37.0,Number of specimens
2010,live,CA,GH,7560.0,Number of specimens
2010,live,CA,GT,480.0,Number of specimens
2010,live,CA,GY,150.0,Number of specimens
2010,live,CA,HK,721.0,Number of specimens
2010,live,CA,ID,70724.0,Number of specimens
2010,live,CA,IN,546.0,Number of specimens
2010,live,CA,JP,1475.0,Number of specimens
2010,live,CA,LK,3070.0,Number of specimens
2010,live,CA,MG,3089.0,Number of specimens
2010,live,CA,ML,575.0,Number of specimens
2010,live,CA,MX,1242.0,Number of specimens
2010,live,CA,MY,239.0,Number of specimens
2010,live,CA,NI,2000.0,Number of specimens
2010,live,CA,NL,290430.0,Number of specimens
2010,live,CA,NZ,17.0,Number of specimens
2010,live,CA,PA,550.0,Number of specimens
2010,live,CA,PE,28.0,Number of specimens
2010,live,CA,PH,5698.0,Number of specimens
2010,live,CA,SD,200.0,Number of specimens
2010,live,CA,SG,216.0,Number of specimens
2010,live,CA,SR,25.0,Number of specimens
2010,live,CA,SV,1000.0,Number of specimens
2010,live,CA,TG,776.0,Number of specimens
2010,live,CA,TZ,2383.0,Number of specimens
2010,live,CA,UA,596.0,Number of specimens
2010,live,CA,US,1620690.1,Number of specimens
2010,live,CA,VN,5650.0,Number of specimens
2010,live,CA,VU,40.0,Number of specimens
2010,live,CG,SD,40.0,Number of specimens
2010,live,CH,AT,136.0,Number of specimens
2010,live,CH,AU,893.0,Number of specimens
2010,live,CH,BE,125954.0,Number of specimens
2010,live,CH,BR,18.0,Number of specimens
2010,live,CH,CN,224.0,Number of specimens
2010,live,CH,CO,323.0,Number of specimens
2010,live,CH,CR,25916.0,Number of specimens
2010,live,CH,CZ,102.0,Number of specimens
2010,live,CH,DE,194096.0,Number of specimens
2010,live,CH,DK,107533.0,Number of specimens
2010,live,CH,EC,2293.0,Number of specimens
2010,live,CH,ES,57085.0,Number of specimens
2010,live,CH,FJ,2.0,Number of specimens
2010,live,CH,FK,56.0,Number of specimens
2010,live,CH,FR,12751.0,Number of specimens
2010,live,CH,GB,2.0,Number of specimens
2010,live,CH,GT,13525.0,Number of specimens
2010,live,CH,HU,33928.0,Number of specimens
2010,live,CH,ID,11291.0,Number of specimens
2010,live,CH,IN,740.0,Number of specimens
2010,live,CH,IT,159177.0,Number of specimens
2010,live,CH,JP,340.0,Number of specimens
2010,live,CH,LK,350.0,Number of specimens
2010,live,CH,LT,8000.0,Number of specimens
2010,live,CH,MG,4608.0,Number of specimens
2010,live,CH,ML,9.0,Number of specimens
2010,live,CH,MY,3306.0,Number of specimens
2010,live,CH,NL,2196820.0,Number of specimens
2010,live,CH,NZ,532.0,Number of specimens
2010,live,CH,PE,719.0,Number of specimens
2010,live,CH,SE,250.0,Number of specimens
2010,live,CH,SG,14.0,Number of specimens
2010,live,CH,SI,1040.0,Number of specimens
2010,live,CH,TG,1306.0,Number of specimens
2010,live,CH,TH,1026.0,Number of specimens
2010,live,CH,TR,18400.0,Number of specimens
2010,live,CH,TW,259729.0,Number of specimens
2010,live,CH,TZ,230.0,Number of specimens
2010,live,CH,US,1755.0,Number of specimens
2010,live,CH,VN,1795.0,Number of specimens
2010,live,CH,ZA,50.0,Number of specimens
2010,live,CI,AE,6.0,Number of specimens
2010,live,CL,AR,20.0,Number of specimens
2010,live,CL,BR,9320.0,Number of specimens
2010,live,CL,CN,12630.0,Number of specimens
2010,live,CL,CZ,1.0,Number of specimens
2010,live,CL,DE,19.0,Number of specimens
2010,live,CL,ES,352.0,Number of specimens
2010,live,CL,NL,2.0,Number of specimens
2010,live,CL,PA,208.0,Number of specimens
2010,live,CL,US,611.0,Number of specimens
2010,live,CN,AR,702.0,Number of specimens
2010,live,CN,AU,466.0,Number of specimens
2010,live,CN,BR,2694.0,Number of specimens
2010,live,CN,CA,52250.0,Number of specimens
2010,live,CN,CU,568.0,Number of specimens
2010,live,CN,CZ,18.0,Number of specimens
2010,live,CN,DE,181.0,Number of specimens
2010,live,CN,DK,396.0,Number of specimens
2010,live,CN,EC,214.0,Number of specimens
2010,live,CN,ES,67756.0,Number of specimens
2010,live,CN,FJ,33541.0,Number of specimens
2010,live,CN,GB,1.0,Number of specimens
2010,live,CN,GN,15.0,Number of specimens
2010,live,CN,GT,16000.0,Number of specimens
2010,live,CN,GY,936.0,Number of specimens
2010,live,CN,ID,12803.0,Number of specimens
2010,live,CN,JP,78446.0,Number of specimens
2010,live,CN,KH,6885.0,Number of specimens
2010,live,CN,KM,1.0,Number of specimens
2010,live,CN,KR,1788106.0,Number of specimens
2010,live,CN,LA,8500.0,Number of specimens
2010,live,CN,LK,2450.0,Number of specimens
2010,live,CN,MG,1048.0,Number of specimens
2010,live,CN,ML,66.0,Number of specimens
2010,live,CN,MT,1.0,Number of specimens
2010,live,CN,MY,44905.0,Number of specimens
2010,live,CN,NL,450.0,Number of specimens
2010,live,CN,PE,710.0,Number of specimens
2010,live,CN,PH,45.0,Number of specimens
2010,live,CN,RU,26.0,Number of specimens
2010,live,CN,SG,2918.0,Number of specimens
2010,live,CN,SI,400.0,Number of specimens
2010,live,CN,SY,350.0,Number of specimens
2010,live,CN,TH,102412.0,Number of specimens
2010,live,CN,UA,179.0,Number of specimens
2010,live,CN,US,43481.0,Number of specimens
2010,live,CN,UY,108.0,Number of specimens
2010,live,CN,VN,86100.0,Number of specimens
2010,live,CN,ZA,9566.0,Number of specimens
2010,live,CO,AU,321.0,Number of specimens
2010,live,CO,CR,350.0,Number of specimens
2010,live,CO,JP,5950.0,Number of specimens
2010,live,CO,US,1004.0,Number of specimens
2010,live,CO,VE,1477.0,Number of specimens
2010,live,CR,AU,9354.0,Number of specimens
2010,live,CR,CN,4000.0,Number of specimens
2010,live,CR,CO,46.0,Number of specimens
2010,live,CR,ES,3.0,Number of specimens
2010,live,CR,ID,1514.0,Number of specimens
2010,live,CR,KR,150.0,Number of specimens
2010,live,CR,PH,517.0,Number of specimens
2010,live,CR,SR,63.0,Number of specimens
2010,live,CR,SV,820.0,Number of specimens
2010,live,CR,US,571.0,Number of specimens
2010,live,CU,NL,741.0,Number of specimens
2010,live,CV,ES,130.0,Number of specimens
2010,live,CW,JM,187.0,Number of specimens
2010,live,CW,PA,371.0,Number of specimens
2010,live,CW,SR,37.0,Number of specimens
2010,live,CX,ZA,150.0,Number of specimens
2010,live,CY,BE,2.0,Number of specimens
2010,live,CY,CN,8364.0,Number of specimens
2010,live,CY,ID,317.0,Number of specimens
2010,live,CZ,AU,18.0,Number of specimens
2010,live,CZ,CD,100.0,Number of specimens
2010,live,CZ,CH,719.0,Number of specimens
2010,live,CZ,CM,60.0,Number of specimens
2010,live,CZ,CR,101.0,Number of specimens
2010,live,CZ,GH,2374.0,Number of specimens
2010,live,CZ,GY,1.0,Number of specimens
2010,live,CZ,ID,7552.0,Number of specimens
2010,live,CZ,JP,75.0,Number of specimens
2010,live,CZ,MG,1402.0,Number of specimens
2010,live,CZ,ML,40.0,Number of specimens
2010,live,CZ,PE,941.0,Number of specimens
2010,live,CZ,PH,4.0,Number of specimens
2010,live,CZ,RS,702.0,Number of specimens
2010,live,CZ,SG,37.0,Number of specimens
2010,live,CZ,SR,287.0,Number of specimens
2010,live,CZ,SV,2700.0,Number of specimens
2010,live,CZ,TG,1240.0,Number of specimens
2010,live,CZ,TH,1482.0,Number of specimens
2010,live,CZ,TW,828.0,Number of specimens
2010,live,CZ,TZ,750.0,Number of specimens
2010,live,CZ,US,3793.0,Number of specimens
2010,live,CZ,UZ,261.0,Number of specimens
2010,live,CZ,ZA,42.0,Number of specimens
2010,live,DE,AE,156.0,Number of specimens
2010,live,DE,AR,3802.0,Number of specimens
2010,live,DE,AU,17933.0,Number of specimens
2010,live,DE,BA,1.0,Number of specimens
2010,live,DE,BB,150.0,Number of specimens
2010,live,DE,BJ,414.0,Number of specimens
2010,live,DE,BR,28473.0,Number of specimens
2010,live,DE,CA,299.0,Number of specimens
2010,live,DE,CH,3855.0,Number of specimens
2010,live,DE,CM,345.0,Number of specimens
2010,live,DE,CN,6355189.0,Number of specimens
2010,live,DE,CO,9262.0,Number of specimens
2010,live,DE,CR,161718.0,Number of specimens
2010,live,DE,EC,19624.0,Number of specimens
2010,live,DE,FJ,3981.0,Number of specimens
2010,live,DE,FM,2202.0,Number of specimens
2010,live,DE,GB,503.0,Number of specimens
2010,live,DE,GH,8460.0,Number of specimens
2010,live,DE,GT,26870.0,Number of specimens
2010,live,DE,GY,469.0,Number of specimens
2010,live,DE,HK,656.0,Number of specimens
2010,live,DE,ID,96721.0,Number of specimens
2010,live,DE,IL,20.0,Number of specimens
2010,live,DE,IN,5693.0,Number of specimens
2010,live,DE,JP,3630.0,Number of specimens
2010,live,DE,KE,1820.0,Number of specimens
2010,live,DE,KI,500.0,Number of specimens
2010,live,DE,KR,47960.0,Number of specimens
2010,live,DE,KZ,11.0,Number of specimens
2010,live,DE,LK,2000.0,Number of specimens
2010,live,DE,MG,8350.0,Number of specimens
2010,live,DE,MX,3506.0,Number of specimens
2010,live,DE,MY,10961.0,Number of specimens
2010,live,DE,MZ,960.0,Number of specimens
2010,live,DE,NZ,200.0,Number of specimens
2010,live,DE,PA,2950.0,Number of specimens
2010,live,DE,PE,8536.0,Number of specimens
2010,live,DE,PH,5228.0,Number of specimens
2010,live,DE,PW,1969.0,Number of specimens
2010,live,DE,RS,3.0,Number of specimens
2010,live,DE,SB,107.0,Number of specimens
2010,live,DE,SC,15.0,Number of specimens
2010,live,DE,SD,900.0,Number of specimens
2010,live,DE,SG,38.0,Number of specimens
2010,live,DE,SR,718.0,Number of specimens
2010,live,DE,SV,3750.0,Number of specimens
2010,live,DE,TG,12568.0,Number of specimens
2010,live,DE,TH,3344236.0,Number of specimens
2010,live,DE,TN,61100.0,Number of specimens
2010,live,DE,TR,1080.0,Number of specimens
2010,live,DE,TW,809734.0,Number of specimens
2010,live,DE,TZ,4735.0,Number of specimens
2010,live,DE,UA,2865.0,Number of specimens
2010,live,DE,UG,510.0,Number of specimens
2010,live,DE,US,18579.0,Number of specimens
2010,live,DE,UZ,1000.0,Number of specimens
2010,live,DE,VE,30.0,Number of specimens
2010,live,DE,VN,660.0,Number of specimens
2010,live,DE,VU,1400.0,Number of specimens
2010,live,DE,ZA,16165.0,Number of specimens
2010,live,DE,ZM,1000.0,Number of specimens
2010,live,DK,AU,1527.0,Number of specimens
2010,live,DK,CH,3.0,Number of specimens
2010,live,DK,CN,493052.0,Number of specimens
2010,live,DK,CR,23160.0,Number of specimens
2010,live,DK,DO,10285.0,Number of specimens
2010,live,DK,GT,6112.0,Number of specimens
2010,live,DK,ID,6405.0,Number of specimens
2010,live,DK,LK,680.0,Number of specimens
2010,live,DK,PE,70.0,Number of specimens
2010,live,DK,PH,627.0,Number of specimens
2010,live,DK,SG,7.0,Number of specimens
2010,live,DK,TG,480.0,Number of specimens
2010,live,DK,TH,2776.0,Number of specimens
2010,live,DK,TW,1705276.0,Number of specimens
2010,live,DK,TZ,52.0,Number of specimens
2010,live,DK,US,307.0,Number of specimens
2010,live,DO,CU,9.0,Number of specimens
2010,live,DO,DE,150.0,Number of specimens
2010,live,DO,ES,1.0,Number of specimens
2010,live,DO,GY,66.0,Number of specimens
2010,live,DO,JM,40.0,Number of specimens
2010,live,DO,NL,47915.0,Number of specimens
2010,live,DO,SR,100.0,Number of specimens
2010,live,DO,TH,296667.0,Number of specimens
2010,live,DO,TW,19103.0,Number of specimens
2010,live,DO,US,14763.0,Number of specimens
2010,live,DZ,ES,637.0,Number of specimens
2010,live,DZ,NE,17.0,Number of specimens
2010,live,EC,EC,19.0,Number of specimens
2010,live,EC,PE,3.0,Number of specimens
2010,live,EE,ID,205.0,Number of specimens
2010,live,EE,TH,447.0,Number of specimens
2010,live,EG,AE,50.0,Number of specimens
2010,live,EG,CN,1000.0,Number of specimens
2010,live,EG,DE,12.0,Number of specimens
2010,live,EG,ML,40.0,Number of specimens
2010,live,EG,SD,100.0,Number of specimens
2010,live,EG,US,92.0,Number of specimens
2010,live,EG,ZA,3.0,Number of specimens
2010,live,ES,AD,5.0,Number of specimens
2010,live,ES,AR,2.0,Number of specimens
2010,live,ES,AU,293.0,Number of specimens
2010,live,ES,BB,100.0,Number of specimens
2010,live,ES,BJ,230.0,Number of specimens
2010,live,ES,BR,200.0,Number of specimens
2010,live,ES,CA,70.0,Number of specimens
2010,live,ES,CH,1.0,Number of specimens
2010,live,ES,CL,40.0,Number of specimens
2010,live,ES,CN,14560.0,Number of specimens
2010,live,ES,CR,84564.0,Number of specimens
2010,live,ES,FJ,25.0,Number of specimens
2010,live,ES,FM,825.0,Number of specimens
2010,live,ES,GH,2642.0,Number of specimens
2010,live,ES,GY,660.0,Number of specimens
2010,live,ES,HN,1200.0,Number of specimens
2010,live,ES,ID,8810.0,Number of specimens
2010,live,ES,IL,7.0,Number of specimens
2010,live,ES,KR,47947.0,Number of specimens
2010,live,ES,LK,2200.0,Number of specimens
2010,live,ES,MG,317.0,Number of specimens
2010,live,ES,MK,200.0,Number of specimens
2010,live,ES,MU,10.0,Number of specimens
2010,live,ES,MX,314.0,Number of specimens
2010,live,ES,MZ,100.0,Number of specimens
2010,live,ES,NI,1650.0,Number of specimens
2010,live,ES,PA,355.0,Number of specimens
2010,live,ES,SG,335.0,Number of specimens
2010,live,ES,SV,17050.0,Number of specimens
2010,live,ES,TD,870.0,Number of specimens
2010,live,ES,TG,1695.0,Number of specimens
2010,live,ES,TH,109195.0,Number of specimens
2010,live,ES,TZ,1441.0,Number of specimens
2010,live,ES,UA,650.0,Number of specimens
2010,live,ES,US,15161.0,Number of specimens
2010,live,ES,UZ,5400.0,Number of specimens
2010,live,ES,VE,200.0,Number of specimens
2010,live,ES,VN,100.0,Number of specimens
2010,live,ES,ZA,87.0,Number of specimens
2010,live,ES,ZM,3699.0,Number of specimens
2010,live,FI,ID,530.0,Number of specimens
2010,live,FI,LK,300.0,Number of specimens
2010,live,FI,US,3.0,Number of specimens
2010,live,FM,PW,913.0,Number of specimens
2010,live,FO,DK,2.0,Number of specimens
2010,live,FR,AU,64585.0,Number of specimens
2010,live,FR,CA,318.0,Number of specimens
2010,live,FR,CG,1.0,Number of specimens
2010,live,FR,CH,135.0,Number of specimens
2010,live,FR,CL,84.0,Number of specimens
2010,live,FR,CN,656.0,Number of specimens
2010,live,FR,CR,260.0,Number of specimens
2010,live,FR,DO,50.0,Number of specimens
2010,live,FR,EC,1965.0,Number of specimens
2010,live,FR,ER,5.0,Number of specimens
2010,live,FR,FJ,336.0,Number of specimens
2010,live,FR,FM,7806.0,Number of specimens
2010,live,FR,FR,1263.0,Number of specimens
2010,live,FR,GH,600.0,Number of specimens
2010,live,FR,GT,5285.0,Number of specimens
2010,live,FR,ID,82029.0,Number of specimens
2010,live,FR,IL,10945.0,Number of specimens
2010,live,FR,KN,72.0,Number of specimens
2010,live,FR,KR,338501.0,Number of specimens
2010,live,FR,LK,22150.0,Number of specimens
2010,live,FR,MG,992.0,Number of specimens
2010,live,FR,MK,1050.0,Number of specimens
2010,live,FR,ML,100.0,Number of specimens
2010,live,FR,MY,1796.0,Number of specimens
2010,live,FR,NI,2104.0,Number of specimens
2010,live,FR,PA,825.0,Number of specimens
2010,live,FR,PH,1475.0,Number of specimens
2010,live,FR,RU,80000.0,Number of specimens
2010,live,FR,SB,90.0,Number of specimens
2010,live,FR,SC,50.0,Number of specimens
2010,live,FR,SG,318.0,Number of specimens
2010,live,FR,SN,12.0,Number of specimens
2010,live,FR,SV,2400.0,Number of specimens
2010,live,FR,TG,5454.0,Number of specimens
2010,live,FR,TH,36980.0,Number of specimens
2010,live,FR,TR,1375.0,Number of specimens
2010,live,FR,TW,123479.0,Number of specimens
2010,live,FR,TZ,629.0,Number of specimens
2010,live,FR,UA,1508.0,Number of specimens
2010,live,FR,US,2690.1,Number of specimens
2010,live,FR,UZ,1000.0,Number of specimens
2010,live,FR,VN,8341.0,Number of specimens
2010,live,FR,VU,3200.0,Number of specimens
2010,live,FR,XX,1393.0,Number of specimens
2010,live,FR,ZA,216.0,Number of specimens
2010,live,FR,ZM,800.0,Number of specimens
2010,live,GA,BE,16.0,Number of specimens
2010,live,GA,ZA,6.0,Number of specimens
2010,live,GB,AU,34755.0,Number of specimens
2010,live,GB,BB,752.0,Number of specimens
2010,live,GB,BJ,100.0,Number of specimens
2010,live,GB,BR,250.0,Number of specimens
2010,live,GB,CA,5650.0,Number of specimens
2010,live,GB,CH,125.0,Number of specimens
2010,live,GB,CN,437350.0,Number of specimens
2010,live,GB,ES,18.0,Number of specimens
2010,live,GB,FJ,33785.0,Number of specimens
2010,live,GB,FM,5132.0,Number of specimens
2010,live,GB,GG,4958.0,Number of specimens
2010,live,GB,GH,15044.0,Number of specimens
2010,live,GB,GY,168.0,Number of specimens
2010,live,GB,ID,57018.0,Number of specimens
2010,live,GB,IN,4600.0,Number of specimens
2010,live,GB,JE,100.0,Number of specimens
2010,live,GB,JP,10222.0,Number of specimens
2010,live,GB,KE,225.0,Number of specimens
2010,live,GB,LK,343836.0,Number of specimens
2010,live,GB,MG,235.0,Number of specimens
2010,live,GB,MU,10.0,Number of specimens
2010,live,GB,MX,5.0,Number of specimens
2010,live,GB,MY,82.0,Number of specimens
2010,live,GB,PE,133.0,Number of specimens
2010,live,GB,PH,2200.0,Number of specimens
2010,live,GB,SB,517.0,Number of specimens
2010,live,GB,SC,125.0,Number of specimens
2010,live,GB,SD,400.0,Number of specimens
2010,live,GB,SG,2665.0,Number of specimens
2010,live,GB,SL,37.0,Number of specimens
2010,live,GB,SR,165.0,Number of specimens
2010,live,GB,SV,1100.0,Number of specimens
2010,live,GB,TG,250.0,Number of specimens
2010,live,GB,TH,923.0,Number of specimens
2010,live,GB,TO,2914.0,Number of specimens
2010,live,GB,TR,1456.0,Number of specimens
2010,live,GB,TW,33354.0,Number of specimens
2010,live,GB,TZ,525.0,Number of specimens
2010,live,GB,UA,2851.0,Number of specimens
2010,live,GB,UG,743.0,Number of specimens
2010,live,GB,US,15488.0,Number of specimens
2010,live,GB,UZ,9814.0,Number of specimens
2010,live,GB,VN,3118.0,Number of specimens
2010,live,GB,VU,3196.0,Number of specimens
2010,live,GB,ZA,758.0,Number of specimens
2010,live,GB,ZM,1150.0,Number of specimens
2010,live,GD,CH,2.0,Number of specimens
2010,live,GD,JM,15.0,Number of specimens
2010,live,GE,CR,160230.0,Number of specimens
2010,live,GE,NL,2.0,Number of specimens
2010,live,GE,TZ,1.0,Number of specimens
2010,live,GG,JP,1400.0,Number of specimens
2010,live,GH,BJ,10450.0,Number of specimens
2010,live,GH,ML,5800.0,Number of specimens
2010,live,GH,TG,4000.0,Number of specimens
2010,live,GH,ZA,79.0,Number of specimens
2010,live,GI,ES,2.0,Number of specimens
2010,live,GN,ZA,1640.0,Number of specimens
2010,live,GP,DO,50.0,Number of specimens
2010,live,GP,PA,600.0,Number of specimens
2010,live,GQ,ES,2878.0,Number of specimens
2010,live,GQ,ZA,2190.0,Number of specimens
2010,live,GR,CN,3625.0,Number of specimens
2010,live,GR,ID,6651.0,Number of specimens
2010,live,GR,JM,6.0,Number of specimens
